word	ref	asr
god	5	5
gold	1	1
golf	0	1
gone	1	1
good	52	53
goodness	4	4
gorgeous	1	1
gosh	5	5
grab	7	7
grandfather	1	1
grandma	1	1
granny	1	1
grape	2	1
great	41	42
green	2	3
grey	1	1
grocery	1	1
ground	1	1
group	2	2
grow	4	1
guess	4	3
guy	16	15
h	1	1
hack	1	1
hair	4	2
half	4	4
hand	10	13
handwriting	1	1
happen	7	7
happily	1	1
happy	6	7
hard	11	13
hat	3	3
hate	0	1
have	153	160
havoc	1	1
he	101	99
head	10	9
headache	1	1
health	1	1
hear	4	5
hell	1	1
hello	15	15
help	11	12
helpful	1	1
her	43	46
here	102	102
hero	1	1
hey	18	18
hi	15	12
hiccup	1	1
hide	1	0
high	1	1
highway	1	1
hint	2	2
his	15	13
hit	5	6
hold	20	20
holiday	1	1
holy	1	2
home	6	7
honestly	1	1
honey	5	3
honk	3	3
hook	0	1
hope	1	2
hopefully	1	1
horrible	1	1
hose	1	1
host	0	1
hot	7	6
hour	10	10
house	7	6
how	36	34
hug	1	1
huge	1	1
huh	7	9
hundred	7	0
hungry	2	2
hunting	0	1
hurry	1	1
hurt	3	4
i	512	541
idea	1	1
identify	3	3
if	47	46
imaginary	1	0
imagine	0	1
important	1	1
in	120	122
increment	1	1
influence	1	1
inside	1	1
inspiring	1	1
instead	1	1
interest	1	1
interested	2	2
into	8	10
issue	2	2
it	346	371
its	8	1
jacket	1	1
jazz	3	3
job	7	7
juice	2	2
jumpy	3	3
just	76	77
k	1	0
karate	1	1
keep	13	12
kettle	1	1
key	3	3
kick	1	1
kind	8	10
kindle	1	1
king	1	0
kiss	8	6
knee	2	2
know	70	71
la	4	0
lab	1	1
lady	4	4
land	1	1
language	2	3
last	10	11
late	11	11
laugh	2	1
laundry	2	2
lay	4	4
leak	1	1
learn	2	2
least	1	1
leave	16	15
left	1	1
leg	3	3
legal	1	1
let	37	40
letter	1	2
lick	1	1
lie	1	1
lieu	1	1
life	5	6
lift	0	1
light	6	6
like	163	149
limb	1	1
line	3	3
link	0	1
listen	5	6
little	52	51
live	4	3
living	2	2
lizard	1	1
lo	0	1
load	2	1
