word	ref	asr
sweep	1	1
sweet	4	3
sweetheart	3	1
sweetie	1	0
sweety	1	0
swelter	1	1
swim	5	2
swing	1	1
swish	2	0
switch	1	3
sword	0	1
syrup	2	2
system	0	1
t	17	2
table	9	7
tag	1	1
tail	2	2
take	68	82
tal	1	0
tale	0	1
talk	27	34
tall	1	1
tan	1	1
tank	1	0
tantrum	1	2
tapa	2	1
target	3	3
taste	5	4
tasty	0	1
tater	0	1
tatu	1	0
tax	1	2
tch	5	0
tea	4	1
teach	2	3
teacher	1	0
teaching	0	1
team	0	2
tear	1	2
tee	0	1
teen	1	1
teethe	1	1
tell	52	44
temperature	1	0
temple	0	1
tempo	0	1
ten	11	0
tend	0	1
term	2	1
terrible	2	2
terry	0	1
test	4	4
testy	1	0
text	3	2
texture	1	1
than	12	12
thank	48	774
thankfully	1	1
thanks	14	19
that	659	761
the	780	781
thee	4	0
their	17	14
themselves	1	1
then	110	85
there	214	198
thermometer	1	0
they	216	214
thicket	1	1
thief	1	0
thing	59	63
thingy	0	1
think	116	163
third	0	2
thirst	1	0
thirsty	1	1
thirteen	1	0
thirty	7	0
this	234	250
though	12	12
thought	1	3
thousand	5	2
three	22	21
through	14	17
throw	16	13
thumb	4	1
thunderstorm	1	1
tick	0	7
ticket	3	2
tickle	7	8
tie	1	1
tien	2	0
tiger	1	0
tight	1	2
till	6	3
time	61	65
timing	1	1
tin	0	6
ting	5	0
tiny	3	5
tip	1	2
tired	24	17
tiring	3	1
tissue	1	0
to	888	935
toast	3	2
toastiness	1	0
today	31	28
toe	4	3
toenail	2	2
together	5	4
toilet	4	1
tomato	2	1
tomorrow	15	14
ton	1	1
tongue	2	1
tonight	4	5
too	40	50
toot	0	3
tooth	13	12
top	10	11
topic	0	2
toque	1	0
tore	1	0
torn	1	1
totally	6	4
touch	12	12
touchdown	1	1
tough	1	0
tour	1	2
towel	5	0
town	1	1
toy	24	15
track	1	1
trail	1	1
trailer	1	2
train	4	5
trap	1	1
trash	1	1
traumatic	1	1
treat	4	2
treatment	1	1
tree	9	9
trial	0	1
trick	1	0
tried	0	1
trill	2	0
trip	4	4
trouble	5	2
truck	12	10
trucker	1	1
trumpet	1	1
trunk	0	1
trust	1	0
try	46	49
tu	3	0
tub	2	0
tumble	1	1
tummy	6	3
turn	21	17
turnaround	0	1
turner	6	3
twelve	7	0
twenty	10	0
twice	1	1
twinkle	12	10
twist	1	1
two	45	49
type	0	1
u	4	0
ugh	13	13
ugly	2	2
ultimate	0	1
um	97	37
un	1	0
under	7	6
undercut	1	1
underdog	1	0
underneath	1	1
understand	3	4
underwear	1	0
undigested	1	1
union	0	1
university	2	2
unless	3	3
unload	1	1
until	9	9
up	202	160
update	1	1
upon	1	0
upset	1	1
upstairs	1	1
use	33	32
user	1	1
usually	5	4
ut	0	3
v	2	0
van	2	0
various	1	0
vary	1	1
vast	0	1
vegetation	1	1
velvet	1	0
vent	0	1
venue	1	1
verse	1	1
versus	0	1
very	28	65
vest	3	2
vibrate	1	1
vibration	1	1
video	3	3
view	1	0
villainous	1	1
violence	0	1
virus	0	1
visa	1	1
vision	0	1
visit	0	1
visitor	1	1
vocal	1	0
voice	4	5
volt	1	1
wa	6	0
waffle	1	0
wah	2	7
wahoo	1	0
wait	37	39
waiting	1	2
wake	9	6
walk	27	21
walker	4	4
walking	3	2
wall	3	2
wallet	1	0
walnut	2	1
wan	1	4
wander	1	1
want	250	185
war	0	1
wardrobe	1	1
warm	8	6
warning	1	1
warrior	1	1
wash	12	5
washcloth	1	1
washin	1	0
washing	4	3
washroom	1	0
waste	0	2
watch	28	32
water	25	26
watermelon	3	1
wave	0	1
wawa	1	0
wax	2	2
way	34	38
we	366	479
wear	16	15
weather	0	1
web	1	0
wedding	2	1
wee	2	2
week	12	15
weekend	3	4
weight	2	4
weird	8	5
welcome	3	2
well	92	76
wet	8	5
wha	1	0
whale	0	1
what	368	396
whatever	11	12
wheat	0	1
whee	3	4
wheeler	1	0
when	72	59
whenever	5	3
where	115	82
wherever	2	3
whether	1	2
whew	1	0
which	10	14
while	9	7
whine	2	1
whiplash	0	1
white	8	7
who	57	35
whoa	21	23
whole	10	10
whoo	1	1
whoop	4	0
whose	4	1
why	71	46
wi	1	0
wide	1	0
wife	4	1
wild	1	1
wilderness	1	0
will	174	195
willing	1	0
willow	1	1
win	2	2
window	8	6
windy	1	1
wine	5	2
winter	1	1
wipe	8	4
wish	2	3
with	152	140
within	0	1
without	3	6
wizard	0	1
woman	0	1
wonder	13	11
woo	6	14
wood	1	3
woof	4	1
woohoo	0	1
wool	1	0
word	11	9
work	32	30
worker	1	1
working	1	0
world	4	6
worried	1	0
worry	2	1
worth	1	1
would	95	72
wow	32	43
wrap	1	0
write	6	5
writer	1	0
wrong	18	14
x	1	0
xylophone	1	0
y	5	0
ya	33	2
yak	1	0
yank	2	1
yard	0	1
ye	34	0
yea	5	0
yeah	395	534
year	17	16
yee	0	1
yell	2	5
yellow	7	3
yep	4	9
yer	1	0
yes	49	82
yesterday	6	4
yet	22	10
yo	1	0
you	1478	2150
young	4	3
your	291	222
yourself	6	8
yuck	2	1
yucky	3	2
yummy	8	6
z	2	0
zero	0	1
zip	0	3
zone	0	1
zoo	1	1
zoom	5	5
